Ќаименование показателЯ	Љод по бюджетной классификации					‘умма на год		
	главного распорЯдителЯ средств федерального бюджета	раздела	подраздела	целевой статьи	вида расходов	на 2012 год	на 2013 год	на 2014 год
1	2	3	4	5	6	7	8	9
name	grbc_code	fks_code	fkr_subcode	csr_code	kvr_code	year2012	year2013	year2014
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	5050513	130	152К440,5	120К000,0	120К000,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	03	5050513	133	152К440,5	120К000,0	120К000,0
ђеализациЯ государственных функций в области социальной политики	188	03	03	5140000		357К504,2	379К000,0	379К100,0
"”едеральный закон от 27 маЯ 1998 года Ь 76-”‡ ""Ћ статусе военнослужащих"""	188	03	03	5142200		349К094,2	375К000,0	375К000,0
‚ыплаты военнослужащим-гражданам на содержание детей (лиц, находЯщихсЯ на иждивении), посещающих государственные, муниципальные и негосударственные дошкольные образовательные учреждениЯ	188	03	03	5142203		2К565,1		
‘оциальное обеспечение и иные выплаты населению	188	03	03	5142203	300	2К565,1		
‘оциальные выплаты гражданам, кроме публичных нормативных социальных выплат	188	03	03	5142203	320	2К565,1		
ЏособиЯ и компенсации гражданам и иные социальные выплаты, кроме публичных нормативных обЯзательств	188	03	03	5142203	321	2К565,1		
Џодъемное пособие при переезде военнослужащим, проходЯщим военную службу по контракту, на новое место военной службы в другой населенный пункт, в том числе на территорию или с территории иностранного государства, в свЯзи с назначением на воинскую должность, зачислением в военное образовательное учреждение профессионального образованиЯ, срок обучениЯ в котором более одного года, или в свЯзи с передислокацией воинской части	188	03	03	5142204		346К529,1	375К000,0	375К000,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	5142204	100	346К529,1	375К000,0	375К000,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	5142204	130	346К529,1	375К000,0	375К000,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	03	5142204	133	346К529,1	375К000,0	375К000,0
"“каз Џрезидента ђоссийской ”едерации от 30 маЯ 1994 года Ь 1110 ""Ћ размере компенсационных выплат отдельным категориЯм граждан"""	188	03	03	5143500		1К210,0	1К000,0	1К100,0
…жемесЯчные компенсационные выплаты матерЯм (или другим родственникам, фактически осуществлЯющим уход за ребенком), состоЯщим в трудовых отношениЯх на условиЯх найма с организациЯми, и женщинам-военнослужащим, находЯщимсЯ в отпуске по уходу за ребенком	188	03	03	5143503		1К210,0	1К000,0	1К100,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	5143503	100	1К210,0	1К000,0	1К100,0
ђасходы на выплаты персоналу казенных учреждений	188	03	03	5143503	110	100,0	100,0	100,0
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	03	5143503	112	100,0	100,0	100,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	5143503	130	1К110,0	900,0	1К000,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	5143503	134	1К110,0	900,0	1К000,0
"”едеральный закон от 6 марта 2006 года Ь 35-”‡ ""Ћ противодействии терроризму"""	188	03	03	5144300		7К200,0	3К000,0	3К000,0
…диновременное пособие лицам, получившим ранениЯ при осуществлении мероприЯтий по борьбе с терроризмом, не повлекшие наступление инвалидности	188	03	03	5144302		7К200,0	3К000,0	3К000,0
‘оциальное обеспечение и иные выплаты населению	188	03	03	5144302	300	7К200,0	3К000,0	3К000,0
‘оциальные выплаты гражданам, кроме публичных нормативных социальных выплат	188	03	03	5144302	320	7К200,0	3К000,0	3К000,0
ЏособиЯ и компенсации гражданам и иные социальные выплаты, кроме публичных нормативных обЯзательств	188	03	03	5144302	321	7К200,0	3К000,0	3К000,0
ЋрганизациЯ и проведение XXII Ћлимпийских зимних игр и XI Џаралимпийских зимних игр 2014 года в городе ‘очи, развитие города ‘очи как горноклиматического курорта	188	03	03	5500000		1К837К600,0		187К700,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа	188	03	03	5500800		1К174К600,0		
‡акупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа	188	03	03	5500820		1К174К600,0		
ЂвиационнаЯ техника	188	03	03	5500821		61К600,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5500821	200	61К600,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	03	5500821	210	61К600,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	03	5500821	212	61К600,0		
Љорабли и катера	188	03	03	5500822		117К600,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5500822	200	117К600,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	03	5500822	210	117К600,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	03	5500822	212	117К600,0		
ЂвтобронетанковаЯ техника	188	03	03	5500823		374К100,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5500823	200	374К100,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	03	5500823	210	374К100,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	03	5500823	212	374К100,0		
‘трелковое и холодное оружие	188	03	03	5500825		25К300,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5500825	200	25К300,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	03	5500825	210	25К300,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	03	5500825	212	25К300,0		
ќлектроннаЯ техника и средства свЯзи	188	03	03	5500826		430К500,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5500826	200	430К500,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	03	5500826	210	430К500,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	03	5500826	212	430К500,0		
Ѓоеприпасы	188	03	03	5500827		6К000,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5500827	200	6К000,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	03	5500827	210	6К000,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	03	5500827	212	6К000,0		
„ругие вооружениЯ, военнаЯ и специальнаЯ техника	188	03	03	5500828		159К500,0		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5500828	200	159К500,0		
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	03	5500828	210	159К500,0		
‡акупка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	03	5500828	212	159К500,0		
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	03	5506700		663К000,0		187К700,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	03	5506700	100			117К600,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	5506700	130			117К600,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	03	5506700	134			117К600,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5506700	200	663К000,0		70К100,0
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	03	5506700	220	653К300,0		
Џродовольственное обеспечение в рамках государственного оборонного заказа	188	03	03	5506700	223	391К400,0		
‚ещевое обеспечение вне рамок государственного оборонного заказа	188	03	03	5506700	226	261К900,0		
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	03	5506700	240	9К700,0		70К100,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	03	5506700	244	9К700,0		70К100,0
Џрикладные научные исследованиЯ в области национальной безопасности и правоохранительной деЯтельности	188	03	13			1К067К772,9	1К131К739,3	1К240К982,8
Џрикладные научные исследованиЯ и разработки	188	03	13	0810000		885К735,4	963К139,0	966К920,5
‚ыплата единовременного (выходного) пособиЯ при увольнении военнослужащих и сотрудников правоохранительных органов	188	03	13	0818700		5К369,2	5К369,2	5К533,4
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	13	0818700	100	5К369,2	5К369,2	5К533,4
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	13	0818700	130	5К369,2	5К369,2	5К533,4
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	13	0818700	133	5К369,2	5К369,2	5К533,4
…жемесЯчнаЯ денежнаЯ компенсациЯ за наем (поднаем) жилых помещений	188	03	13	0818800		6К015,1	3К705,1	3К705,1
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	13	0818800	100	6К015,1	3К705,1	3К705,1
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	13	0818800	130	6К015,1	3К705,1	3К705,1
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	13	0818800	134	6К015,1	3К705,1	3К705,1
Ћбеспечение деЯтельности (оказание услуг) подведомственных учреждений	188	03	13	0819900		874К351,1	954К064,7	957К682,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	13	0819900	100	747К419,6	826К272,8	826К911,5
ђасходы на выплаты персоналу казенных учреждений	188	03	13	0819900	110	130К462,2	134К785,7	134К785,7
”онд оплаты труда и страховые взносы	188	03	13	0819900	111	129К909,4	134К232,9	134К232,9
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	13	0819900	112	552,8	552,8	552,8
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	13	0819900	130	616К957,4	691К487,1	692К125,8
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	13	0819900	131	599К304,5	672К578,0	672К578,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	13	0819900	134	17К652,9	18К909,1	19К547,8
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	13	0819900	200	125К641,3	126К850,5	129К829,1
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	13	0819900	220	1К947,4	2К054,5	2К157,3
‚ещевое обеспечение в рамках государственного оборонного заказа	188	03	13	0819900	225	1К947,4	2К054,5	2К157,3
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	13	0819900	240	123К693,9	124К796,0	127К671,8
‡акупка товаров, работ, услуг в сфере информационно-коммуникационных технологий	188	03	13	0819900	242	5К613,0		
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	13	0819900	244	118К080,9	124К796,0	127К671,8
€ные бюджетные ассигнованиЯ	188	03	13	0819900	800	1К290,2	941,4	941,4
€сполнение судебных актов	188	03	13	0819900	830	618,0	300,0	300,0
€сполнение судебных актов ђоссийской ”едерации и мировых соглашений по возмещению вреда, причиненного в результате незаконных действий (бездействиЯ) органов государственной власти (государственных органов) либо должностных лиц этих органов, а также в результате деЯтельности казенных учреждений	188	03	13	0819900	831	618,0	300,0	300,0
“плата налогов, сборов и иных платежей	188	03	13	0819900	850	672,2	641,4	641,4
“плата прочих налогов, сборов и иных платежей	188	03	13	0819900	852	672,2	641,4	641,4
”едеральные целевые программы	188	03	13	1000000		100К076,2		
"”едеральнаЯ целеваЯ программа ""Џовышение безопасности дорожного движениЯ в 2006 - 2012 годах"""	188	03	13	1005900		100К076,2		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	13	1005900	200	100К076,2		
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	13	1005900	240	100К076,2		
Ќаучно-исследовательские и опытно-конструкторские работы	188	03	13	1005900	241	100К076,2		
"”едеральнаЯ целеваЯ программа ""Џоддержание, развитие и использование системы ѓ‹ЋЌЂ‘‘ на 2012 - 2020 годы"""	188	03	13	1360000		58К300,0	146К200,0	250К000,0
"ђеализациЯ мероприЯтий ”едеральной целевой программы ""Џоддержание, развитие и использование системы ѓ‹ЋЌЂ‘‘ на 2012 - 2020 годы"""	188	03	13	1360099		58К300,0	146К200,0	250К000,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	13	1360099	200	58К300,0	146К200,0	250К000,0
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	13	1360099	240	58К300,0	146К200,0	250К000,0
Ќаучно-исследовательские и опытно-конструкторские работы	188	03	13	1360099	241	58К300,0	146К200,0	250К000,0
‘оциальнаЯ помощь	188	03	13	5050000		9К261,3	8К000,3	8К062,3
"”едеральный закон от 19 маЯ 1995 года Ь 81-”‡ ""Ћ государственных пособиЯх гражданам, имеющим детей"""	188	03	13	5050500		9К261,3	8К000,3	8К062,3
Џособие по беременности и родам	188	03	13	5050510		4К916,2	4К916,2	4К916,2
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	13	5050510	100	4К916,2	4К916,2	4К916,2
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	13	5050510	130	4К916,2	4К916,2	4К916,2
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	13	5050510	133	4К916,2	4К916,2	4К916,2
…диновременное пособие женщинам, вставшим на учет в медицинских учреждениЯх в ранние сроки беременности	188	03	13	5050511		1,0		
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	13	5050511	100	1,0		
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	13	5050511	130	1,0		
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	13	5050511	134	1,0		
…диновременное пособие при рождении ребенка	188	03	13	5050512		1К239,1	1К239,1	1К301,1
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	13	5050512	100	1К239,1	1К239,1	1К301,1
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	13	5050512	130	1К239,1	1К239,1	1К301,1
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	13	5050512	134	1К239,1	1К239,1	1К301,1
…жемесЯчное пособие по уходу за ребенком	188	03	13	5050513		3К105,0	1К845,0	1К845,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	13	5050513	100	3К105,0	1К845,0	1К845,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	13	5050513	130	3К105,0	1К845,0	1К845,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	13	5050513	133	3К105,0	1К845,0	1К845,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа	188	03	13	7050000		14К400,0	14К400,0	16К000,0
ђазработка вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа	188	03	13	7050100		14К400,0	14К400,0	16К000,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	13	7050100	200	14К400,0	14К400,0	16К000,0
ђазработка, закупка и ремонт вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества	188	03	13	7050100	210	14К400,0	14К400,0	16К000,0
€сследованиЯ в области разработки вооружений, военной и специальной техники, продукции производственно-технического назначениЯ и имущества в рамках государственного оборонного заказа вне рамок государственной программы вооружениЯ	188	03	13	7050100	218	14К400,0	14К400,0	16К000,0
†илищно-коммунальное хозЯйство	188	05				20К369К059,2	11К282К075,5	11К674К375,5
†илищное хозЯйство	188	05	01			20К369К059,2	11К282К075,5	11К674К375,5
Ѓюджетные инвестиции в объекты капитального строительства, не включенные в целевые программы	188	05	01	1020000		19К969К059,2	11К282К075,5	11К674К375,5
Ћбеспечение военнослужащих служебным и постоЯнным жильем	188	05	01	1020400		12К580К000,0	8К750К000,0	9К142К300,0
Ћбеспечение военнослужащих федеральных органов исполнительной власти, в которых законом предусмотрена военнаЯ служба, служебными жилыми помещениЯми и жилыми помещениЯми в общежитиЯх	188	05	01	1020401		10К595К600,0	7К000К000,0	6К600К000,0
Ѓюджетные инвестиции	188	05	01	1020401	400	10К595К600,0	7К000К000,0	6К600К000,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	05	01	1020401	410	10К595К600,0	7К000К000,0	6К600К000,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	05	01	1020401	412	10К595К600,0	7К000К000,0	6К600К000,0
‘троительство и приобретение жилых помещений длЯ постоЯнного проживаниЯ военнослужащих федеральных органов исполнительной власти, в которых законом предусмотрена военнаЯ служба	188	05	01	1020402		1К984К400,0	1К750К000,0	2К542К300,0
Ѓюджетные инвестиции	188	05	01	1020402	400	1К984К400,0	1К750К000,0	2К542К300,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	05	01	1020402	410	1К984К400,0	1К750К000,0	2К542К300,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	05	01	1020402	412	1К984К400,0	1К750К000,0	2К542К300,0
Ћбеспечение имеющих специальные званиЯ сотрудников федеральных органов исполнительной власти, в которых предусмотрена служба, приравниваемаЯ к военной, служебным и постоЯнным жильем	188	05	01	1020500		7К389К059,2	2К532К075,5	2К532К075,5
Ћбеспечение имеющих специальные званиЯ сотрудников федеральных органов исполнительной власти, в которых предусмотрена служба, приравненнаЯ к военной, служебными жилыми помещениЯми и жилыми помещениЯми в общежитиЯх	188	05	01	1020501		6К090К611,2	1К233К627,5	1К233К627,5
Ѓюджетные инвестиции	188	05	01	1020501	400	6К090К611,2	1К233К627,5	1К233К627,5
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	05	01	1020501	410	6К090К611,2	1К233К627,5	1К233К627,5
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	05	01	1020501	412	6К090К611,2	1К233К627,5	1К233К627,5
‘троительство и приобретение жилых помещений длЯ постоЯнного проживаниЯ имеющих специальные званиЯ сотрудников федеральных органов исполнительной власти, в которых предусмотрена служба, приравненнаЯ к военной	188	05	01	1020502		1К298К448,0	1К298К448,0	1К298К448,0
Ѓюджетные инвестиции	188	05	01	1020502	400	1К298К448,0	1К298К448,0	1К298К448,0
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	05	01	1020502	410	1К298К448,0	1К298К448,0	1К298К448,0
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	05	01	1020502	412	1К298К448,0	1К298К448,0	1К298К448,0
ЋрганизациЯ и проведение XXII Ћлимпийских зимних игр и XI Џаралимпийских зимних игр 2014 года в городе ‘очи, развитие города ‘очи как горноклиматического курорта	188	05	01	5500000		400К000,0		
Ѓюджетные инвестиции в объекты капитального строительства, не включенные в целевые программы	188	05	01	5500700		400К000,0		
Ћбеспечение имеющих специальные званиЯ сотрудников федеральных органов исполнительной власти, в которых предусмотрена служба, приравниваемаЯ к военной, служебным и постоЯнным жильем	188	05	01	5500730		400К000,0		
‘троительство и приобретение жилых помещений длЯ постоЯнного проживаниЯ имеющих специальные званиЯ сотрудников федеральных органов исполнительной власти, в которых предусмотрена служба, приравненнаЯ к военной	188	05	01	5500731		400К000,0		
Ѓюджетные инвестиции	188	05	01	5500731	400	400К000,0		
Ѓюджетные инвестиции в объекты государственной собственности федеральным государственным учреждениЯм	188	05	01	5500731	410	400К000,0		
Ѓюджетные инвестиции в объекты государственной собственности казенным учреждениЯм в рамках государственного оборонного заказа	188	05	01	5500731	412	400К000,0		
Ћбразование	188	07				26К468К981,9	26К957К863,7	27К117К492,4
„ошкольное образование	188	07	01			47К250,5	46К053,0	46К327,3
„етские дошкольные учреждениЯ	188	07	01	4200000		47К250,5	46К053,0	46К327,3
"‘оциальные выплаты, установленные ‡аконом ђоссийской ”едерации от 10 июлЯ 1992 года Ь 3266-I ""Ћб образовании"""	188	07	01	4208600		63,0	63,0	63,0
‚ыплата ежемесЯчной денежной компенсации педагогическим работникам федеральных государственных образовательных учреждений в целЯх содействиЯ их обеспечению книгоиздательской продукцией и периодическими изданиЯми	188	07	01	4208601		63,0	63,0	63,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	07	01	4208601	100	63,0	63,0	63,0
ђасходы на выплаты персоналу казенных учреждений	188	07	01	4208601	110	63,0	63,0	63,0
€ные выплаты персоналу, за исключением фонда оплаты труда	188	07	01	4208601	112	63,0	63,0	63,0
Ћбеспечение деЯтельности (оказание услуг) подведомственных учреждений	188	07	01	4209900		47К187,5	45К990,0	46К264,3
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	07	01	4209900	100	39К372,1	39К185,4	39К192,1
ђасходы на выплаты персоналу казенных учреждений	188	07	01	4209900	110	39К372,1	39К185,4	39К192,1
”онд оплаты труда и страховые взносы	188	07	01	4209900	111	34К185,1	34К066,0	34К066,0
€ные выплаты персоналу, за исключением фонда оплаты труда	188	07	01	4209900	112	5К187,0	5К119,4	5К126,1
‡акупка товаров, работ и услуг длЯ государственных нужд	188	07	01	4209900	200	7К812,8	6К804,6	7К072,2
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	07	01	4209900	220	5К813,2	4К663,2	4К863,2
Џродовольственное обеспечение вне рамок государственного оборонного заказа	188	07	01	4209900	224	4К563,2	4К563,2	4К563,2
‚ещевое обеспечение вне рамок государственного оборонного заказа	188	07	01	4209900	226	1К250,0	100,0	300,0
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	07	01	4209900	240	1К999,6	2К141,4	2К209,0
‡акупка товаров, работ, услуг в сфере информационно-коммуникационных технологий	188	07	01	4209900	242	102,0	85,0	85,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	07	01	4209900	244	1К897,6	2К056,4	2К124,0
€ные бюджетные ассигнованиЯ	188	07	01	4209900	800	2,6		
“плата налогов, сборов и иных платежей	188	07	01	4209900	850	2,6		
“плата прочих налогов, сборов и иных платежей	188	07	01	4209900	852	2,6		
Ћбщее образование	188	07	02			22К012,3	15К064,1	15К058,5
