Ќаименование показателЯ	Љод по бюджетной классификации					‘умма на год		
	главного распорЯдителЯ средств федерального бюджета	раздела	подраздела	целевой статьи	вида расходов	на 2012 год	на 2013 год	на 2014 год
1	2	3	4	5	6	7	8	9
name	grbc_code	fks_code	fkr_subcode	csr_code	kvr_code	year2012	year2013	year2014
”онд оплаты труда и страховые взносы	188	03	02	2026700	121	12К545К564,7	12К220К407,0	12К220К407,0
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	2026700	122	36К500,0		
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2026700	130	501К246К481,1	490К453К509,8	490К574К844,5
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	02	2026700	131	485К474К414,0	474К380К408,6	474К380К408,6
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2026700	134	15К772К067,1	16К073К101,2	16К194К435,9
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2026700	200	72К438К054,2	71К233К958,7	70К925К055,3
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2026700	220	18К442К367,3	18К941К887,5	19К232К184,8
Ћбеспечение специальным топливом и горюче-смазочными материалами в рамках государственного оборонного заказа	188	03	02	2026700	221	11К495К060,7	11К917К199,0	11К917К199,0
Ћбеспечение специальным топливом и горюче-смазочными материалами вне рамок государственного оборонного заказа	188	03	02	2026700	222	41К490,0		
Џродовольственное обеспечение в рамках государственного оборонного заказа	188	03	02	2026700	223	1К293К650,4	1К366К451,2	1К436К273,7
Џродовольственное обеспечение вне рамок государственного оборонного заказа	188	03	02	2026700	224	1К636К882,4	1К698К680,9	1К777К026,8
‚ещевое обеспечение в рамках государственного оборонного заказа	188	03	02	2026700	225	3К495К031,9	3К456К203,3	3К594К013,5
‚ещевое обеспечение вне рамок государственного оборонного заказа	188	03	02	2026700	226	480К251,9	503К353,1	507К671,8
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	2026700	240	53К995К686,9	52К292К071,2	51К692К870,5
‡акупка товаров, работ, услуг в сфере информационно-коммуникационных технологий	188	03	02	2026700	242	6К133К834,9		
‡акупка товаров, работ, услуг в целЯх капитального ремонта государственного имущества	188	03	02	2026700	243	4К416К157,0	3К116К157,0	3К466К157,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2026700	244	43К445К695,0	49К175К914,2	48К226К713,5
€ные бюджетные ассигнованиЯ	188	03	02	2026700	800	334К807,3	454К807,3	454К807,3
€сполнение судебных актов	188	03	02	2026700	830	164К460,0	314К460,0	314К460,0
€сполнение судебных актов ђоссийской ”едерации и мировых соглашений по возмещению вреда, причиненного в результате незаконных действий (бездействиЯ) органов государственной власти (государственных органов) либо должностных лиц этих органов, а также в результате деЯтельности казенных учреждений	188	03	02	2026700	831	164К460,0	314К460,0	314К460,0
“плата налогов, сборов и иных платежей	188	03	02	2026700	850	170К347,3	140К347,3	140К347,3
“плата прочих налогов, сборов и иных платежей	188	03	02	2026700	852	170К347,3	140К347,3	140К347,3
‚озмещение учреждениЯм государственной и муниципальной систем здравоохранениЯ расходов на оказание медицинской помощи военнослужащим, гражданам, призванным на военные сборы, сотрудникам органов внутренних дел ђоссийской ”едерации, государственной противопожарной службы Њинистерства ђоссийской ”едерации по делам гражданской обороны, чрезвычайным ситуациЯм и ликвидации последствий стихийных бедствий, уголовно-исполнительной системы, таможенных органов и лицам начальствующего состава федеральной фельдъегерской свЯзи	188	03	02	2027100		1К704К751,7	1К634К751,7	1К634К751,7
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2027100	100	1К704К751,7	1К634К751,7	1К634К751,7
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2027100	130	1К704К751,7	1К634К751,7	1К634К751,7
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2027100	134	1К704К751,7	1К634К751,7	1К634К751,7
‚ыплата единовременного (выходного) пособиЯ при увольнении военнослужащих и сотрудников правоохранительных органов	188	03	02	2028700		6К186К076,0	6К336К076,0	6К336К076,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2028700	100	6К186К076,0	6К336К076,0	6К336К076,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2028700	130	6К186К076,0	6К336К076,0	6К336К076,0
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	2028700	133	6К186К076,0	6К336К076,0	6К336К076,0
…жемесЯчнаЯ денежнаЯ компенсациЯ за наем (поднаем) жилых помещений	188	03	02	2028800		1К028К206,0	1К028К206,0	1К028К206,0
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2028800	100	1К028К206,0	1К028К206,0	1К028К206,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2028800	130	1К028К206,0	1К028К206,0	1К028К206,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2028800	134	1К028К206,0	1К028К206,0	1К028К206,0
Ћбеспечение деЯтельности вневедомственной охраны	188	03	02	2150000		84К239К151,1	79К858К373,4	80К033К415,2
”ункционирование ‚ооруженных ‘ил ђоссийской ”едерации, органов в сфере национальной безопасности и правоохранительной деЯтельности, войск и иных воинских формирований	188	03	02	2156700		83К579К989,4	79К599К211,7	79К774К253,5
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2156700	100	75К584К411,9	72К253К440,7	72К281К798,8
ђасходы на выплаты персоналу казенных учреждений	188	03	02	2156700	110	10К597К803,6	9К682К003,8	9К682К193,8
”онд оплаты труда и страховые взносы	188	03	02	2156700	111	10К547К003,6	9К678К203,8	9К678К203,8
€ные выплаты персоналу, за исключением фонда оплаты труда	188	03	02	2156700	112	50К800,0	3К800,0	3К990,0
ђасходы на выплаты персоналу государственных органов	188	03	02	2156700	120	23К400,0	23К400,0	23К400,0
”онд оплаты труда и страховые взносы	188	03	02	2156700	121	23К400,0	23К400,0	23К400,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2156700	130	64К963К208,3	62К548К036,9	62К576К205,0
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	02	2156700	131	63К800К584,0	61К256К044,0	61К256К044,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2156700	134	1К162К624,3	1К291К992,9	1К320К161,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2156700	200	7К362К243,8	7К316К771,0	7К463К454,7
‡акупка товаров, работ и услуг длЯ обеспечениЯ специальным топливом и горюче-смазочными материалами, продовольственного и вещевого обеспечениЯ органов в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2156700	220	2К427К564,4	2К573К473,8	2К596К801,3
Ћбеспечение специальным топливом и горюче-смазочными материалами в рамках государственного оборонного заказа	188	03	02	2156700	221	1К985К337,1	2К106К924,0	2К106К924,0
Џродовольственное обеспечение вне рамок государственного оборонного заказа	188	03	02	2156700	224	31К418,4	33К146,4	34К803,7
‚ещевое обеспечение в рамках государственного оборонного заказа	188	03	02	2156700	225	407К310,9	429К713,0	451К198,7
‚ещевое обеспечение вне рамок государственного оборонного заказа	188	03	02	2156700	226	3К498,0	3К690,4	3К874,9
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	2156700	240	4К934К679,4	4К743К297,2	4К866К653,4
‡акупка товаров, работ, услуг в сфере информационно-коммуникационных технологий	188	03	02	2156700	242	1К568К216,5		
‡акупка товаров, работ, услуг в целЯх капитального ремонта государственного имущества	188	03	02	2156700	243	74К294,4	74К294,4	74К294,4
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2156700	244	3К292К168,5	4К669К002,8	4К792К359,0
